macroarea,maschi_0_49_gennaio,maschi_50_64_gennaio,maschi_65_79_gennaio,maschi_80_plus_gennaio,femmine_0_49_gennaio,femmine_50_64_gennaio,femmine_65_79_gennaio,femmine_80_plus_gennaio,maschi_0_49_febbraio,maschi_50_64_febbraio,maschi_65_79_febbraio,maschi_80_plus_febbraio,femmine_0_49_febbraio,femmine_50_64_febbraio,femmine_65_79_febbraio,femmine_80_plus_febbraio,maschi_0_49_marzo,maschi_50_64_marzo,maschi_65_79_marzo,maschi_80_plus_marzo,femmine_0_49_marzo,femmine_50_64_marzo,femmine_65_79_marzo,femmine_80_plus_marzo,maschi_0_49_aprile,maschi_50_64_aprile,maschi_65_79_aprile,maschi_80_plus_aprile,femmine_0_49_aprile,femmine_50_64_aprile,femmine_65_79_aprile,femmine_80_plus_aprile,maschi_0_49_maggio,maschi_50_64_maggio,maschi_65_79_maggio,maschi_80_plus_maggio,femmine_0_49_maggio,femmine_50_64_maggio,femmine_65_79_maggio,femmine_80_plus_maggio,maschi_0_49_giugno,maschi_50_64_giugno,maschi_65_79_giugno,maschi_80_plus_giugno,femmine_0_49_giugno,femmine_50_64_giugno,femmine_65_79_giugno,femmine_80_plus_giugno,maschi_0_49_luglio,maschi_50_64_luglio,maschi_65_79_luglio,maschi_80_plus_luglio,femmine_0_49_luglio,femmine_50_64_luglio,femmine_65_79_luglio,femmine_80_plus_luglio,maschi_0_49_agosto,maschi_50_64_agosto,maschi_65_79_agosto,maschi_80_plus_agosto,femmine_0_49_agosto,femmine_50_64_agosto,femmine_65_79_agosto,femmine_80_plus_agosto,maschi_0_49_settembre,maschi_50_64_settembre,maschi_65_79_settembre,maschi_80_plus_settembre,femmine_0_49_settembre,femmine_50_64_settembre,femmine_65_79_settembre,femmine_80_plus_settembre,maschi_0_49_ottobre,maschi_50_64_ottobre,maschi_65_79_ottobre,maschi_80_plus_ottobre,femmine_0_49_ottobre,femmine_50_64_ottobre,femmine_65_79_ottobre,femmine_80_plus_ottobre,maschi_0_49_novembre,maschi_50_64_novembre,maschi_65_79_novembre,maschi_80_plus_novembre,femmine_0_49_novembre,femmine_50_64_novembre,femmine_65_79_novembre,femmine_80_plus_novembre,maschi_0_49_dicembre,maschi_50_64_dicembre,maschi_65_79_dicembre,maschi_80_plus_dicembre,femmine_0_49_dicembre,femmine_50_64_dicembre,femmine_65_79_dicembre,femmine_80_plus_dicembre,anno
centro,197,522,1693,3518,99,303,1147,4886,145,483,1505,3032,106,302,1048,4328,162,603,1964,3913,113,314,1214,5052,152,559,1713,3329,110,319,1101,4671,152,484,1456,2688,104,303,1018,3796,175,490,1394,2547,98,288,967,3778,157,491,1474,2865,88,327,1080,4156,177,479,1486,2998,100,292,1045,4475,142,436,1400,2743,96,340,1005,3925,166,584,1653,3507,125,367,1135,4692,184,715,2256,4352,113,339,1305,5670,151,639,1999,3927,92,396,1345,5396,2020
isole,132,363,1032,1808,65,231,714,2550,145,321,970,1575,65,197,613,2121,123,325,1069,1798,60,214,691,2517,80,319,910,1532,69,185,615,2273,104,320,872,1368,66,194,592,1919,106,295,765,1245,47,177,528,1796,109,334,836,1359,75,196,588,2018,100,349,904,1534,72,202,642,2289,84,320,824,1297,67,219,586,1838,120,402,1018,1635,66,221,648,2093,131,444,1335,2034,56,225,799,2584,135,407,1302,2033,72,233,791,2690,2020
nord,406,1219,3939,7602,240,815,2524,11195,387,1111,3668,7018,227,688,2434,10605,478,2207,9261,14977,268,1020,4691,19135,398,1669,5863,11331,218,837,3629,17714,399,1236,3698,6567,223,686,2460,10270,358,1112,3268,5928,219,668,2179,9123,407,1066,3452,6220,241,670,2154,9297,378,1186,3448,6450,219,694,2285,9725,386,1092,3313,6173,212,650,2276,8972,395,1245,4136,8112,203,762,2623,11110,427,1652,5984,11843,237,820,3429,15361,407,1620,5697,10686,233,839,3376,15621,2020
sud,267,771,2170,3650,144,464,1393,5098,233,728,1920,3187,120,423,1196,4522,245,771,2165,3503,149,426,1411,4884,249,704,2026,3186,113,390,1248,4461,214,656,1673,2764,117,419,1146,3878,219,650,1641,2687,139,375,1056,3726,250,653,1780,2795,127,408,1165,4057,261,689,1773,3007,127,402,1156,4277,203,665,1752,2638,120,375,1148,3590,239,763,2082,3247,133,450,1356,4280,269,973,2901,4201,153,544,1690,5277,252,915,2580,3896,169,545,1603,5234,2020
centro,181,658,2138,4078,109,379,1317,5627,152,563,1764,3322,91,343,1149,4555,160,664,1994,3859,106,408,1334,5029,193,686,1997,3462,118,349,1291,4677,182,586,1707,2963,92,345,1116,4083,175,549,1466,2850,98,320,1032,4057,170,479,1493,3026,107,317,1064,4290,195,496,1584,3139,115,344,1061,4664,187,539,1424,2825,97,321,993,4052,178,464,1468,3164,99,338,1032,4423,153,468,1526,3078,95,312,1065,4404,165,554,1782,3689,108,379,1212,5150,2021
isole,137,398,1348,2107,74,227,804,2923,99,381,982,1673,71,222,668,2221,129,351,1042,1752,75,222,695,2355,115,411,1091,1654,61,251,693,2310,113,338,999,1540,62,216,674,1957,122,335,915,1528,52,204,648,2146,126,336,922,1560,72,235,639,2226,145,416,1032,1814,62,261,801,2721,114,395,916,1394,74,207,622,1991,117,392,904,1444,64,185,636,1968,104,336,907,1499,60,228,682,2062,131,395,1140,1955,70,211,756,2699,2021
nord,416,1563,5073,9864,254,850,3095,14125,341,1267,3966,7426,197,679,2501,10503,370,1468,5181,8952,252,856,3130,11660,353,1436,4787,7862,226,789,2904,10281,445,1255,3827,6422,216,714,2512,9281,390,1114,3279,6170,210,644,2259,9034,421,1163,3382,6271,223,681,2309,9254,396,1178,3471,6408,220,659,2254,9460,388,1121,3326,6434,223,684,2198,9005,393,1136,3516,7054,239,734,2388,10105,388,1170,3539,7176,214,671,2412,10406,415,1370,4281,8626,238,802,2929,12278,2021
sud,260,909,2409,3941,167,483,1605,5563,239,787,2192,3375,120,455,1412,4690,270,956,2721,3896,148,552,1741,5215,255,958,2607,3567,136,488,1769,4758,271,790,2134,2976,135,443,1459,4171,252,673,1827,3091,131,449,1227,4302,244,702,1866,3072,156,436,1273,4515,293,754,1808,3274,136,455,1314,5060,246,725,1783,2855,147,425,1229,4035,267,690,1887,2999,139,414,1256,3982,215,689,1857,2975,143,420,1231,4129,233,782,2229,3510,132,459,1582,5261,2021
centro,205,627,1947,4128,91,370,1296,5894,157,538,1607,3574,89,302,1093,4844,191,526,1706,3582,102,362,1176,5140,167,557,1630,3404,90,288,1094,4674,167,524,1605,3138,92,323,1049,4368,134,510,1394,2954,80,302,996,4085,177,595,1685,3824,100,332,1195,5705,165,567,1591,3103,106,305,1084,4796,167,453,1362,2681,68,308,955,3878,139,518,1513,3068,88,309,1024,4271,135,535,1583,3367,91,321,1062,4569,184,531,1837,3880,93,352,1222,5368,2022
isole,159,510,1483,2419,80,263,960,3249,110,372,1136,2020,73,218,807,2738,143,366,1124,1963,61,269,762,2890,108,353,1008,1746,56,217,669,2413,111,327,1009,1573,66,204,666,2169,102,384,887,1525,69,172,635,2214,146,377,1092,1862,72,227,781,2695,117,328,973,1646,63,210,698,2367,112,301,844,1360,60,186,631,1849,111,286,915,1431,58,210,609,1885,84,312,868,1559,57,193,600,2033,110,331,1053,1852,59,245,758,2545,2022
