macroarea,anno,decessi,sesso,mese,fascia_eta,mese_num
centro,2020,3032,maschi,febbraio,80_plus,2
isole,2020,1575,maschi,febbraio,80_plus,2
nord,2020,7018,maschi,febbraio,80_plus,2
sud,2020,3187,maschi,febbraio,80_plus,2
centro,2021,3322,maschi,febbraio,80_plus,2
isole,2021,1673,maschi,febbraio,80_plus,2
nord,2021,7426,maschi,febbraio,80_plus,2
sud,2021,3375,maschi,febbraio,80_plus,2
centro,2022,3574,maschi,febbraio,80_plus,2
isole,2022,2020,maschi,febbraio,80_plus,2
nord,2022,7800,maschi,febbraio,80_plus,2
sud,2022,3593,maschi,febbraio,80_plus,2
centro,2023,3440,maschi,febbraio,80_plus,2
isole,2023,1854,maschi,febbraio,80_plus,2
nord,2023,7341,maschi,febbraio,80_plus,2
sud,2023,3631,maschi,febbraio,80_plus,2
centro,2024,2997,maschi,febbraio,80_plus,2
isole,2024,1640,maschi,febbraio,80_plus,2
nord,2024,6788,maschi,febbraio,80_plus,2
sud,2024,3196,maschi,febbraio,80_plus,2
centro,2015,143,femmine,febbraio,0_49,2
isole,2015,71,femmine,febbraio,0_49,2
nord,2015,271,femmine,febbraio,0_49,2
sud,2015,154,femmine,febbraio,0_49,2
centro,2016,120,femmine,febbraio,0_49,2
isole,2016,96,femmine,febbraio,0_49,2
nord,2016,268,femmine,febbraio,0_49,2
sud,2016,163,femmine,febbraio,0_49,2
centro,2017,114,femmine,febbraio,0_49,2
isole,2017,60,femmine,febbraio,0_49,2
nord,2017,253,femmine,febbraio,0_49,2
sud,2017,144,femmine,febbraio,0_49,2
centro,2018,116,femmine,febbraio,0_49,2
isole,2018,70,femmine,febbraio,0_49,2
nord,2018,243,femmine,febbraio,0_49,2
sud,2018,145,femmine,febbraio,0_49,2
centro,2019,106,femmine,febbraio,0_49,2
isole,2019,60,femmine,febbraio,0_49,2
nord,2019,223,femmine,febbraio,0_49,2
sud,2019,146,femmine,febbraio,0_49,2
centro,2020,106,femmine,febbraio,0_49,2
isole,2020,65,femmine,febbraio,0_49,2
nord,2020,227,femmine,febbraio,0_49,2
sud,2020,120,femmine,febbraio,0_49,2
centro,2021,91,femmine,febbraio,0_49,2
isole,2021,71,femmine,febbraio,0_49,2
nord,2021,197,femmine,febbraio,0_49,2
sud,2021,120,femmine,febbraio,0_49,2
centro,2022,89,femmine,febbraio,0_49,2
isole,2022,73,femmine,febbraio,0_49,2
nord,2022,196,femmine,febbraio,0_49,2
sud,2022,119,femmine,febbraio,0_49,2
centro,2023,110,femmine,febbraio,0_49,2
isole,2023,63,femmine,febbraio,0_49,2
nord,2023,202,femmine,febbraio,0_49,2
sud,2023,144,femmine,febbraio,0_49,2
centro,2024,90,femmine,febbraio,0_49,2
isole,2024,61,femmine,febbraio,0_49,2
nord,2024,203,femmine,febbraio,0_49,2
sud,2024,130,femmine,febbraio,0_49,2
centro,2015,361,femmine,febbraio,50_64,2
isole,2015,193,femmine,febbraio,50_64,2
nord,2015,731,femmine,febbraio,50_64,2
sud,2015,463,femmine,febbraio,50_64,2
centro,2016,319,femmine,febbraio,50_64,2
isole,2016,193,femmine,febbraio,50_64,2
nord,2016,714,femmine,febbraio,50_64,2
sud,2016,396,femmine,febbraio,50_64,2
centro,2017,297,femmine,febbraio,50_64,2
isole,2017,204,femmine,febbraio,50_64,2
nord,2017,733,femmine,febbraio,50_64,2
sud,2017,416,femmine,febbraio,50_64,2
centro,2018,333,femmine,febbraio,50_64,2
isole,2018,215,femmine,febbraio,50_64,2
nord,2018,746,femmine,febbraio,50_64,2
sud,2018,429,femmine,febbraio,50_64,2
centro,2019,359,femmine,febbraio,50_64,2
isole,2019,186,femmine,febbraio,50_64,2
nord,2019,712,femmine,febbraio,50_64,2
sud,2019,451,femmine,febbraio,50_64,2
centro,2020,302,femmine,febbraio,50_64,2
isole,2020,197,femmine,febbraio,50_64,2
nord,2020,688,femmine,febbraio,50_64,2
sud,2020,423,femmine,febbraio,50_64,2
centro,2021,343,femmine,febbraio,50_64,2
isole,2021,222,femmine,febbraio,50_64,2
nord,2021,679,femmine,febbraio,50_64,2
sud,2021,455,femmine,febbraio,50_64,2
centro,2022,302,femmine,febbraio,50_64,2
isole,2022,218,femmine,febbraio,50_64,2
nord,2022,675,femmine,febbraio,50_64,2
sud,2022,442,femmine,febbraio,50_64,2
centro,2023,320,femmine,febbraio,50_64,2
isole,2023,195,femmine,febbraio,50_64,2
nord,2023,631,femmine,febbraio,50_64,2
sud,2023,436,femmine,febbraio,50_64,2
centro,2024,322,femmine,febbraio,50_64,2
isole,2024,217,femmine,febbraio,50_64,2
nord,2024,636,femmine,febbraio,50_64,2
sud,2024,369,femmine,febbraio,50_64,2
centro,2015,1156,femmine,febbraio,65_79,2
isole,2015,761,femmine,febbraio,65_79,2
nord,2015,2769,femmine,febbraio,65_79,2
sud,2015,1467,femmine,febbraio,65_79,2
centro,2016,1110,femmine,febbraio,65_79,2
isole,2016,691,femmine,febbraio,65_79,2
nord,2016,2619,femmine,febbraio,65_79,2
sud,2016,1291,femmine,febbraio,65_79,2
centro,2017,1099,femmine,febbraio,65_79,2
isole,2017,703,femmine,febbraio,65_79,2
nord,2017,2651,femmine,febbraio,65_79,2
sud,2017,1323,femmine,febbraio,65_79,2
centro,2018,1118,femmine,febbraio,65_79,2
isole,2018,705,femmine,febbraio,65_79,2
nord,2018,2610,femmine,febbraio,65_79,2
sud,2018,1325,femmine,febbraio,65_79,2
centro,2019,1055,femmine,febbraio,65_79,2
isole,2019,684,femmine,febbraio,65_79,2
nord,2019,2551,femmine,febbraio,65_79,2
sud,2019,1464,femmine,febbraio,65_79,2
centro,2020,1048,femmine,febbraio,65_79,2
isole,2020,613,femmine,febbraio,65_79,2
nord,2020,2434,femmine,febbraio,65_79,2
sud,2020,1196,femmine,febbraio,65_79,2
centro,2021,1149,femmine,febbraio,65_79,2
isole,2021,668,femmine,febbraio,65_79,2
nord,2021,2501,femmine,febbraio,65_79,2
sud,2021,1412,femmine,febbraio,65_79,2
centro,2022,1093,femmine,febbraio,65_79,2
isole,2022,807,femmine,febbraio,65_79,2
nord,2022,2497,femmine,febbraio,65_79,2
sud,2022,1365,femmine,febbraio,65_79,2
centro,2023,1137,femmine,febbraio,65_79,2
isole,2023,700,femmine,febbraio,65_79,2
nord,2023,2394,femmine,febbraio,65_79,2
sud,2023,1405,femmine,febbraio,65_79,2
centro,2024,1042,femmine,febbraio,65_79,2
isole,2024,711,femmine,febbraio,65_79,2
nord,2024,2360,femmine,febbraio,65_79,2
sud,2024,1320,femmine,febbraio,65_79,2
centro,2015,4913,femmine,febbraio,80_plus,2
isole,2015,2424,femmine,febbraio,80_plus,2
nord,2015,11467,femmine,febbraio,80_plus,2
sud,2015,4789,femmine,febbraio,80_plus,2
centro,2016,4121,femmine,febbraio,80_plus,2
isole,2016,2207,femmine,febbraio,80_plus,2
nord,2016,10142,femmine,febbraio,80_plus,2
sud,2016,4369,femmine,febbraio,80_plus,2
centro,2017,4634,femmine,febbraio,80_plus,2
isole,2017,2451,femmine,febbraio,80_plus,2
nord,2017,11324,femmine,febbraio,80_plus,2
sud,2017,4580,femmine,febbraio,80_plus,2
centro,2018,4410,femmine,febbraio,80_plus,2
isole,2018,2356,femmine,febbraio,80_plus,2
nord,2018,10751,femmine,febbraio,80_plus,2
sud,2018,4448,femmine,febbraio,80_plus,2
centro,2019,4721,femmine,febbraio,80_plus,2
isole,2019,2408,femmine,febbraio,80_plus,2
nord,2019,11318,femmine,febbraio,80_plus,2
sud,2019,4791,femmine,febbraio,80_plus,2
centro,2020,4328,femmine,febbraio,80_plus,2
isole,2020,2121,femmine,febbraio,80_plus,2
nord,2020,10605,femmine,febbraio,80_plus,2
sud,2020,4522,femmine,febbraio,80_plus,2
centro,2021,4555,femmine,febbraio,80_plus,2
isole,2021,2221,femmine,febbraio,80_plus,2
nord,2021,10503,femmine,febbraio,80_plus,2
sud,2021,4690,femmine,febbraio,80_plus,2
centro,2022,4844,femmine,febbraio,80_plus,2
isole,2022,2738,femmine,febbraio,80_plus,2
nord,2022,10756,femmine,febbraio,80_plus,2
sud,2022,5106,femmine,febbraio,80_plus,2
centro,2023,4832,femmine,febbraio,80_plus,2
isole,2023,2752,femmine,febbraio,80_plus,2
nord,2023,10536,femmine,febbraio,80_plus,2
sud,2023,5210,femmine,febbraio,80_plus,2
centro,2024,4245,femmine,febbraio,80_plus,2
isole,2024,2222,femmine,febbraio,80_plus,2
nord,2024,9871,femmine,febbraio,80_plus,2
sud,2024,4279,femmine,febbraio,80_plus,2
centro,2015,214,maschi,marzo,0_49,3
isole,2015,151,maschi,marzo,0_49,3
nord,2015,485,maschi,marzo,0_49,3
sud,2015,289,maschi,marzo,0_49,3
centro,2016,201,maschi,marzo,0_49,3
isole,2016,114,maschi,marzo,0_49,3
nord,2016,450,maschi,marzo,0_49,3
sud,2016,284,maschi,marzo,0_49,3
centro,2017,195,maschi,marzo,0_49,3
isole,2017,129,maschi,marzo,0_49,3
nord,2017,445,maschi,marzo,0_49,3
sud,2017,282,maschi,marzo,0_49,3
centro,2018,182,maschi,marzo,0_49,3
isole,2018,139,maschi,marzo,0_49,3
nord,2018,435,maschi,marzo,0_49,3
sud,2018,271,maschi,marzo,0_49,3
centro,2019,191,maschi,marzo,0_49,3
isole,2019,137,maschi,marzo,0_49,3
nord,2019,419,maschi,marzo,0_49,3
sud,2019,276,maschi,marzo,0_49,3
centro,2020,162,maschi,marzo,0_49,3
isole,2020,123,maschi,marzo,0_49,3
nord,2020,478,maschi,marzo,0_49,3
sud,2020,245,maschi,marzo,0_49,3
centro,2021,160,maschi,marzo,0_49,3
isole,2021,129,maschi,marzo,0_49,3
nord,2021,370,maschi,marzo,0_49,3
sud,2021,270,maschi,marzo,0_49,3
centro,2022,191,maschi,marzo,0_49,3
isole,2022,143,maschi,marzo,0_49,3
nord,2022,380,maschi,marzo,0_49,3
sud,2022,257,maschi,marzo,0_49,3
centro,2023,171,maschi,marzo,0_49,3
isole,2023,123,maschi,marzo,0_49,3
nord,2023,379,maschi,marzo,0_49,3
sud,2023,236,maschi,marzo,0_49,3
centro,2024,171,maschi,marzo,0_49,3
isole,2024,114,maschi,marzo,0_49,3
nord,2024,324,maschi,marzo,0_49,3
sud,2024,215,maschi,marzo,0_49,3
centro,2015,573,maschi,marzo,50_64,3
isole,2015,384,maschi,marzo,50_64,3
nord,2015,1313,maschi,marzo,50_64,3
sud,2015,675,maschi,marzo,50_64,3
centro,2016,539,maschi,marzo,50_64,3
isole,2016,318,maschi,marzo,50_64,3
nord,2016,1224,maschi,marzo,50_64,3
sud,2016,733,maschi,marzo,50_64,3
centro,2017,501,maschi,marzo,50_64,3
isole,2017,343,maschi,marzo,50_64,3
nord,2017,1188,maschi,marzo,50_64,3
sud,2017,723,maschi,marzo,50_64,3
centro,2018,509,maschi,marzo,50_64,3
isole,2018,330,maschi,marzo,50_64,3
nord,2018,1225,maschi,marzo,50_64,3
sud,2018,723,maschi,marzo,50_64,3
centro,2019,569,maschi,marzo,50_64,3
isole,2019,368,maschi,marzo,50_64,3
nord,2019,1198,maschi,marzo,50_64,3
sud,2019,686,maschi,marzo,50_64,3
centro,2020,603,maschi,marzo,50_64,3
isole,2020,325,maschi,marzo,50_64,3
nord,2020,2207,maschi,marzo,50_64,3
sud,2020,771,maschi,marzo,50_64,3
centro,2021,664,maschi,marzo,50_64,3
isole,2021,351,maschi,marzo,50_64,3
nord,2021,1468,maschi,marzo,50_64,3
sud,2021,956,maschi,marzo,50_64,3
centro,2022,526,maschi,marzo,50_64,3
isole,2022,366,maschi,marzo,50_64,3
nord,2022,1252,maschi,marzo,50_64,3
sud,2022,754,maschi,marzo,50_64,3
centro,2023,528,maschi,marzo,50_64,3
isole,2023,339,maschi,marzo,50_64,3
nord,2023,1157,maschi,marzo,50_64,3
sud,2023,714,maschi,marzo,50_64,3
centro,2024,525,maschi,marzo,50_64,3
isole,2024,355,maschi,marzo,50_64,3
nord,2024,1105,maschi,marzo,50_64,3
sud,2024,722,maschi,marzo,50_64,3
centro,2015,1727,maschi,marzo,65_79,3
isole,2015,1091,maschi,marzo,65_79,3
nord,2015,4397,maschi,marzo,65_79,3
sud,2015,2160,maschi,marzo,65_79,3
centro,2016,1712,maschi,marzo,65_79,3
isole,2016,1097,maschi,marzo,65_79,3
nord,2016,4112,maschi,marzo,65_79,3
sud,2016,1957,maschi,marzo,65_79,3
centro,2017,1715,maschi,marzo,65_79,3
isole,2017,996,maschi,marzo,65_79,3
nord,2017,4122,maschi,marzo,65_79,3
sud,2017,2072,maschi,marzo,65_79,3
centro,2018,1666,maschi,marzo,65_79,3
isole,2018,1065,maschi,marzo,65_79,3
nord,2018,4037,maschi,marzo,65_79,3
sud,2018,2022,maschi,marzo,65_79,3
centro,2019,1655,maschi,marzo,65_79,3
isole,2019,1023,maschi,marzo,65_79,3
nord,2019,3699,maschi,marzo,65_79,3
sud,2019,1922,maschi,marzo,65_79,3
centro,2020,1964,maschi,marzo,65_79,3
isole,2020,1069,maschi,marzo,65_79,3
nord,2020,9261,maschi,marzo,65_79,3
sud,2020,2165,maschi,marzo,65_79,3
centro,2021,1994,maschi,marzo,65_79,3
isole,2021,1042,maschi,marzo,65_79,3
nord,2021,5181,maschi,marzo,65_79,3
sud,2021,2721,maschi,marzo,65_79,3
centro,2022,1706,maschi,marzo,65_79,3
isole,2022,1124,maschi,marzo,65_79,3
nord,2022,3719,maschi,marzo,65_79,3
sud,2022,2223,maschi,marzo,65_79,3
centro,2023,1626,maschi,marzo,65_79,3
isole,2023,1018,maschi,marzo,65_79,3
nord,2023,3573,maschi,marzo,65_79,3
sud,2023,2016,maschi,marzo,65_79,3
centro,2024,1501,maschi,marzo,65_79,3
isole,2024,1012,maschi,marzo,65_79,3
nord,2024,3334,maschi,marzo,65_79,3
sud,2024,1912,maschi,marzo,65_79,3
centro,2015,3304,maschi,marzo,80_plus,3
isole,2015,1772,maschi,marzo,80_plus,3
nord,2015,7019,maschi,marzo,80_plus,3
sud,2015,3365,maschi,marzo,80_plus,3
centro,2016,3035,maschi,marzo,80_plus,3
isole,2016,1686,maschi,marzo,80_plus,3
nord,2016,6527,maschi,marzo,80_plus,3
sud,2016,3054,maschi,marzo,80_plus,3
centro,2017,3077,maschi,marzo,80_plus,3
isole,2017,1747,maschi,marzo,80_plus,3
nord,2017,6853,maschi,marzo,80_plus,3
sud,2017,3213,maschi,marzo,80_plus,3
centro,2018,3255,maschi,marzo,80_plus,3
isole,2018,1664,maschi,marzo,80_plus,3
nord,2018,7184,maschi,marzo,80_plus,3
sud,2018,3154,maschi,marzo,80_plus,3
centro,2019,3140,maschi,marzo,80_plus,3
isole,2019,1711,maschi,marzo,80_plus,3
nord,2019,6998,maschi,marzo,80_plus,3
sud,2019,3247,maschi,marzo,80_plus,3
centro,2020,3913,maschi,marzo,80_plus,3
isole,2020,1798,maschi,marzo,80_plus,3
nord,2020,14977,maschi,marzo,80_plus,3
sud,2020,3503,maschi,marzo,80_plus,3
centro,2021,3859,maschi,marzo,80_plus,3
isole,2021,1752,maschi,marzo,80_plus,3
nord,2021,8952,maschi,marzo,80_plus,3
sud,2021,3896,maschi,marzo,80_plus,3
centro,2022,3582,maschi,marzo,80_plus,3
isole,2022,1963,maschi,marzo,80_plus,3
nord,2022,7426,maschi,marzo,80_plus,3
sud,2022,3795,maschi,marzo,80_plus,3
centro,2023,3153,maschi,marzo,80_plus,3
isole,2023,1764,maschi,marzo,80_plus,3
nord,2023,7089,maschi,marzo,80_plus,3
sud,2023,3295,maschi,marzo,80_plus,3
centro,2024,2991,maschi,marzo,80_plus,3
isole,2024,1563,maschi,marzo,80_plus,3
nord,2024,6805,maschi,marzo,80_plus,3
sud,2024,3119,maschi,marzo,80_plus,3
centro,2015,116,femmine,marzo,0_49,3
isole,2015,87,femmine,marzo,0_49,3
nord,2015,257,femmine,marzo,0_49,3
sud,2015,164,femmine,marzo,0_49,3
centro,2016,112,femmine,marzo,0_49,3
isole,2016,83,femmine,marzo,0_49,3
nord,2016,246,femmine,marzo,0_49,3
sud,2016,174,femmine,marzo,0_49,3
centro,2017,140,femmine,marzo,0_49,3
isole,2017,79,femmine,marzo,0_49,3
nord,2017,277,femmine,marzo,0_49,3
sud,2017,160,femmine,marzo,0_49,3
centro,2018,127,femmine,marzo,0_49,3
isole,2018,74,femmine,marzo,0_49,3
nord,2018,230,femmine,marzo,0_49,3
sud,2018,169,femmine,marzo,0_49,3
centro,2019,102,femmine,marzo,0_49,3
isole,2019,77,femmine,marzo,0_49,3
nord,2019,234,femmine,marzo,0_49,3
sud,2019,153,femmine,marzo,0_49,3
centro,2020,113,femmine,marzo,0_49,3
isole,2020,60,femmine,marzo,0_49,3
nord,2020,268,femmine,marzo,0_49,3
sud,2020,149,femmine,marzo,0_49,3
centro,2021,106,femmine,marzo,0_49,3
isole,2021,75,femmine,marzo,0_49,3
nord,2021,252,femmine,marzo,0_49,3
sud,2021,148,femmine,marzo,0_49,3
centro,2022,102,femmine,marzo,0_49,3
isole,2022,61,femmine,marzo,0_49,3
nord,2022,203,femmine,marzo,0_49,3
sud,2022,148,femmine,marzo,0_49,3
centro,2023,90,femmine,marzo,0_49,3
isole,2023,63,femmine,marzo,0_49,3
nord,2023,205,femmine,marzo,0_49,3
sud,2023,121,femmine,marzo,0_49,3
centro,2024,102,femmine,marzo,0_49,3
isole,2024,62,femmine,marzo,0_49,3
nord,2024,203,femmine,marzo,0_49,3
sud,2024,132,femmine,marzo,0_49,3
centro,2015,374,femmine,marzo,50_64,3
isole,2015,204,femmine,marzo,50_64,3
nord,2015,763,femmine,marzo,50_64,3
sud,2015,471,femmine,marzo,50_64,3
centro,2016,322,femmine,marzo,50_64,3
isole,2016,202,femmine,marzo,50_64,3
nord,2016,669,femmine,marzo,50_64,3
sud,2016,366,femmine,marzo,50_64,3
centro,2017,331,femmine,marzo,50_64,3
isole,2017,215,femmine,marzo,50_64,3
nord,2017,748,femmine,marzo,50_64,3
sud,2017,429,femmine,marzo,50_64,3
centro,2018,292,femmine,marzo,50_64,3
isole,2018,209,femmine,marzo,50_64,3
nord,2018,725,femmine,marzo,50_64,3
sud,2018,417,femmine,marzo,50_64,3
centro,2019,322,femmine,marzo,50_64,3
isole,2019,200,femmine,marzo,50_64,3
nord,2019,743,femmine,marzo,50_64,3
sud,2019,412,femmine,marzo,50_64,3
centro,2020,314,femmine,marzo,50_64,3
isole,2020,214,femmine,marzo,50_64,3
nord,2020,1020,femmine,marzo,50_64,3
sud,2020,426,femmine,marzo,50_64,3
centro,2021,408,femmine,marzo,50_64,3
isole,2021,222,femmine,marzo,50_64,3
nord,2021,856,femmine,marzo,50_64,3
sud,2021,552,femmine,marzo,50_64,3
centro,2022,362,femmine,marzo,50_64,3
isole,2022,269,femmine,marzo,50_64,3
nord,2022,734,femmine,marzo,50_64,3
sud,2022,429,femmine,marzo,50_64,3
centro,2023,349,femmine,marzo,50_64,3
isole,2023,219,femmine,marzo,50_64,3
nord,2023,716,femmine,marzo,50_64,3
sud,2023,408,femmine,marzo,50_64,3
centro,2024,294,femmine,marzo,50_64,3
isole,2024,196,femmine,marzo,50_64,3
nord,2024,695,femmine,marzo,50_64,3
sud,2024,420,femmine,marzo,50_64,3
centro,2015,1289,femmine,marzo,65_79,3
isole,2015,752,femmine,marzo,65_79,3
nord,2015,2889,femmine,marzo,65_79,3
sud,2015,1478,femmine,marzo,65_79,3
centro,2016,1203,femmine,marzo,65_79,3
isole,2016,719,femmine,marzo,65_79,3
nord,2016,2614,femmine,marzo,65_79,3
sud,2016,1304,femmine,marzo,65_79,3
centro,2017,1178,femmine,marzo,65_79,3
isole,2017,735,femmine,marzo,65_79,3
nord,2017,2696,femmine,marzo,65_79,3
sud,2017,1346,femmine,marzo,65_79,3
centro,2018,1135,femmine,marzo,65_79,3
isole,2018,702,femmine,marzo,65_79,3
nord,2018,2663,femmine,marzo,65_79,3
sud,2018,1293,femmine,marzo,65_79,3
centro,2019,1126,femmine,marzo,65_79,3
isole,2019,724,femmine,marzo,65_79,3
nord,2019,2532,femmine,marzo,65_79,3
sud,2019,1380,femmine,marzo,65_79,3
centro,2020,1214,femmine,marzo,65_79,3
isole,2020,691,femmine,marzo,65_79,3
nord,2020,4691,femmine,marzo,65_79,3
sud,2020,1411,femmine,marzo,65_79,3
centro,2021,1334,femmine,marzo,65_79,3
isole,2021,695,femmine,marzo,65_79,3
nord,2021,3130,femmine,marzo,65_79,3
sud,2021,1741,femmine,marzo,65_79,3
centro,2022,1176,femmine,marzo,65_79,3
isole,2022,762,femmine,marzo,65_79,3
nord,2022,2558,femmine,marzo,65_79,3
sud,2022,1550,femmine,marzo,65_79,3
centro,2023,1110,femmine,marzo,65_79,3
isole,2023,718,femmine,marzo,65_79,3
nord,2023,2427,femmine,marzo,65_79,3
sud,2023,1364,femmine,marzo,65_79,3
centro,2024,1068,femmine,marzo,65_79,3
isole,2024,673,femmine,marzo,65_79,3
nord,2024,2248,femmine,marzo,65_79,3
sud,2024,1305,femmine,marzo,65_79,3
centro,2015,4933,femmine,marzo,80_plus,3
isole,2015,2562,femmine,marzo,80_plus,3
nord,2015,11380,femmine,marzo,80_plus,3
sud,2015,4943,femmine,marzo,80_plus,3
centro,2016,4441,femmine,marzo,80_plus,3
isole,2016,2275,femmine,marzo,80_plus,3
nord,2016,10328,femmine,marzo,80_plus,3
sud,2016,4300,femmine,marzo,80_plus,3
centro,2017,4505,femmine,marzo,80_plus,3
isole,2017,2281,femmine,marzo,80_plus,3
nord,2017,10787,femmine,marzo,80_plus,3
sud,2017,4690,femmine,marzo,80_plus,3
centro,2018,4748,femmine,marzo,80_plus,3
isole,2018,2384,femmine,marzo,80_plus,3
nord,2018,11009,femmine,marzo,80_plus,3
sud,2018,4555,femmine,marzo,80_plus,3
centro,2019,4616,femmine,marzo,80_plus,3
isole,2019,2397,femmine,marzo,80_plus,3
nord,2019,10704,femmine,marzo,80_plus,3
sud,2019,4792,femmine,marzo,80_plus,3
centro,2020,5052,femmine,marzo,80_plus,3
isole,2020,2517,femmine,marzo,80_plus,3
nord,2020,19135,femmine,marzo,80_plus,3
sud,2020,4884,femmine,marzo,80_plus,3
centro,2021,5029,femmine,marzo,80_plus,3
isole,2021,2355,femmine,marzo,80_plus,3
nord,2021,11660,femmine,marzo,80_plus,3
sud,2021,5215,femmine,marzo,80_plus,3
centro,2022,5140,femmine,marzo,80_plus,3
isole,2022,2890,femmine,marzo,80_plus,3
nord,2022,10946,femmine,marzo,80_plus,3
sud,2022,5371,femmine,marzo,80_plus,3
centro,2023,4707,femmine,marzo,80_plus,3
isole,2023,2467,femmine,marzo,80_plus,3
nord,2023,10444,femmine,marzo,80_plus,3
sud,2023,4836,femmine,marzo,80_plus,3
centro,2024,4260,femmine,marzo,80_plus,3
isole,2024,2196,femmine,marzo,80_plus,3
nord,2024,9626,femmine,marzo,80_plus,3
sud,2024,4273,femmine,marzo,80_plus,3
centro,2015,202,maschi,aprile,0_49,4
isole,2015,140,maschi,aprile,0_49,4
nord,2015,459,maschi,aprile,0_49,4
sud,2015,271,maschi,aprile,0_49,4
centro,2016,188,maschi,aprile,0_49,4
isole,2016,121,maschi,aprile,0_49,4
nord,2016,380,maschi,aprile,0_49,4
sud,2016,259,maschi,aprile,0_49,4
centro,2017,186,maschi,aprile,0_49,4
isole,2017,105,maschi,aprile,0_49,4
nord,2017,373,maschi,aprile,0_49,4
sud,2017,238,maschi,aprile,0_49,4
centro,2018,168,maschi,aprile,0_49,4
isole,2018,129,maschi,aprile,0_49,4
nord,2018,398,maschi,aprile,0_49,4
sud,2018,288,maschi,aprile,0_49,4
centro,2019,146,maschi,aprile,0_49,4
isole,2019,100,maschi,aprile,0_49,4
nord,2019,365,maschi,aprile,0_49,4
sud,2019,232,maschi,aprile,0_49,4
centro,2020,152,maschi,aprile,0_49,4
isole,2020,80,maschi,aprile,0_49,4
nord,2020,398,maschi,aprile,0_49,4
sud,2020,249,maschi,aprile,0_49,4
centro,2021,193,maschi,aprile,0_49,4
isole,2021,115,maschi,aprile,0_49,4
nord,2021,353,maschi,aprile,0_49,4
sud,2021,255,maschi,aprile,0_49,4
centro,2022,167,maschi,aprile,0_49,4
isole,2022,108,maschi,aprile,0_49,4
nord,2022,365,maschi,aprile,0_49,4
sud,2022,226,maschi,aprile,0_49,4
centro,2023,156,maschi,aprile,0_49,4
isole,2023,115,maschi,aprile,0_49,4
nord,2023,370,maschi,aprile,0_49,4
sud,2023,224,maschi,aprile,0_49,4
centro,2024,145,maschi,aprile,0_49,4
isole,2024,120,maschi,aprile,0_49,4
nord,2024,337,maschi,aprile,0_49,4
sud,2024,213,maschi,aprile,0_49,4
centro,2015,519,maschi,aprile,50_64,4
isole,2015,316,maschi,aprile,50_64,4
nord,2015,1188,maschi,aprile,50_64,4
sud,2015,655,maschi,aprile,50_64,4
centro,2016,540,maschi,aprile,50_64,4
isole,2016,314,maschi,aprile,50_64,4
nord,2016,1104,maschi,aprile,50_64,4
sud,2016,639,maschi,aprile,50_64,4
centro,2017,498,maschi,aprile,50_64,4
isole,2017,258,maschi,aprile,50_64,4
nord,2017,1007,maschi,aprile,50_64,4
sud,2017,651,maschi,aprile,50_64,4
centro,2018,491,maschi,aprile,50_64,4
isole,2018,351,maschi,aprile,50_64,4
nord,2018,1078,maschi,aprile,50_64,4
sud,2018,666,maschi,aprile,50_64,4
centro,2019,494,maschi,aprile,50_64,4
isole,2019,321,maschi,aprile,50_64,4
nord,2019,1063,maschi,aprile,50_64,4
sud,2019,615,maschi,aprile,50_64,4
centro,2020,559,maschi,aprile,50_64,4
isole,2020,319,maschi,aprile,50_64,4
nord,2020,1669,maschi,aprile,50_64,4
sud,2020,704,maschi,aprile,50_64,4
centro,2021,686,maschi,aprile,50_64,4
isole,2021,411,maschi,aprile,50_64,4
nord,2021,1436,maschi,aprile,50_64,4
sud,2021,958,maschi,aprile,50_64,4
centro,2022,557,maschi,aprile,50_64,4
isole,2022,353,maschi,aprile,50_64,4
nord,2022,1103,maschi,aprile,50_64,4
sud,2022,729,maschi,aprile,50_64,4
centro,2023,467,maschi,aprile,50_64,4
isole,2023,325,maschi,aprile,50_64,4
nord,2023,1139,maschi,aprile,50_64,4
sud,2023,722,maschi,aprile,50_64,4
centro,2024,488,maschi,aprile,50_64,4
isole,2024,283,maschi,aprile,50_64,4
nord,2024,1075,maschi,aprile,50_64,4
sud,2024,673,maschi,aprile,50_64,4
centro,2015,1677,maschi,aprile,65_79,4
isole,2015,925,maschi,aprile,65_79,4
nord,2015,3769,maschi,aprile,65_79,4
sud,2015,1864,maschi,aprile,65_79,4
centro,2016,1575,maschi,aprile,65_79,4
isole,2016,872,maschi,aprile,65_79,4
nord,2016,3645,maschi,aprile,65_79,4
sud,2016,1889,maschi,aprile,65_79,4
centro,2017,1491,maschi,aprile,65_79,4
isole,2017,792,maschi,aprile,65_79,4
nord,2017,3332,maschi,aprile,65_79,4
sud,2017,1719,maschi,aprile,65_79,4
centro,2018,1437,maschi,aprile,65_79,4
isole,2018,836,maschi,aprile,65_79,4
nord,2018,3473,maschi,aprile,65_79,4
sud,2018,1747,maschi,aprile,65_79,4
centro,2019,1443,maschi,aprile,65_79,4
isole,2019,877,maschi,aprile,65_79,4
nord,2019,3467,maschi,aprile,65_79,4
sud,2019,1695,maschi,aprile,65_79,4
centro,2020,1713,maschi,aprile,65_79,4
isole,2020,910,maschi,aprile,65_79,4
nord,2020,5863,maschi,aprile,65_79,4
sud,2020,2026,maschi,aprile,65_79,4
centro,2021,1997,maschi,aprile,65_79,4
isole,2021,1091,maschi,aprile,65_79,4
nord,2021,4787,maschi,aprile,65_79,4
