macroarea,anno,decessi,sesso,mese,fascia_eta,mese_num
centro,2022,3824,maschi,luglio,80_plus,7
isole,2022,1862,maschi,luglio,80_plus,7
nord,2022,8407,maschi,luglio,80_plus,7
sud,2022,3518,maschi,luglio,80_plus,7
centro,2023,3085,maschi,luglio,80_plus,7
isole,2023,1792,maschi,luglio,80_plus,7
nord,2023,6138,maschi,luglio,80_plus,7
sud,2023,3367,maschi,luglio,80_plus,7
centro,2024,3056,maschi,luglio,80_plus,7
isole,2024,1504,maschi,luglio,80_plus,7
nord,2024,6753,maschi,luglio,80_plus,7
sud,2024,3227,maschi,luglio,80_plus,7
centro,2015,117,femmine,luglio,0_49,7
isole,2015,65,femmine,luglio,0_49,7
nord,2015,264,femmine,luglio,0_49,7
sud,2015,155,femmine,luglio,0_49,7
centro,2016,106,femmine,luglio,0_49,7
isole,2016,79,femmine,luglio,0_49,7
nord,2016,246,femmine,luglio,0_49,7
sud,2016,132,femmine,luglio,0_49,7
centro,2017,90,femmine,luglio,0_49,7
isole,2017,82,femmine,luglio,0_49,7
nord,2017,225,femmine,luglio,0_49,7
sud,2017,169,femmine,luglio,0_49,7
centro,2018,121,femmine,luglio,0_49,7
isole,2018,67,femmine,luglio,0_49,7
nord,2018,232,femmine,luglio,0_49,7
sud,2018,138,femmine,luglio,0_49,7
centro,2019,120,femmine,luglio,0_49,7
isole,2019,80,femmine,luglio,0_49,7
nord,2019,228,femmine,luglio,0_49,7
sud,2019,140,femmine,luglio,0_49,7
centro,2020,88,femmine,luglio,0_49,7
isole,2020,75,femmine,luglio,0_49,7
nord,2020,241,femmine,luglio,0_49,7
sud,2020,127,femmine,luglio,0_49,7
centro,2021,107,femmine,luglio,0_49,7
isole,2021,72,femmine,luglio,0_49,7
nord,2021,223,femmine,luglio,0_49,7
sud,2021,156,femmine,luglio,0_49,7
centro,2022,100,femmine,luglio,0_49,7
isole,2022,72,femmine,luglio,0_49,7
nord,2022,229,femmine,luglio,0_49,7
sud,2022,151,femmine,luglio,0_49,7
centro,2023,93,femmine,luglio,0_49,7
isole,2023,73,femmine,luglio,0_49,7
nord,2023,227,femmine,luglio,0_49,7
sud,2023,122,femmine,luglio,0_49,7
centro,2024,102,femmine,luglio,0_49,7
isole,2024,57,femmine,luglio,0_49,7
nord,2024,220,femmine,luglio,0_49,7
sud,2024,124,femmine,luglio,0_49,7
centro,2015,354,femmine,luglio,50_64,7
isole,2015,200,femmine,luglio,50_64,7
nord,2015,694,femmine,luglio,50_64,7
sud,2015,378,femmine,luglio,50_64,7
centro,2016,280,femmine,luglio,50_64,7
isole,2016,165,femmine,luglio,50_64,7
nord,2016,619,femmine,luglio,50_64,7
sud,2016,377,femmine,luglio,50_64,7
centro,2017,325,femmine,luglio,50_64,7
isole,2017,174,femmine,luglio,50_64,7
nord,2017,644,femmine,luglio,50_64,7
sud,2017,357,femmine,luglio,50_64,7
centro,2018,300,femmine,luglio,50_64,7
isole,2018,198,femmine,luglio,50_64,7
nord,2018,674,femmine,luglio,50_64,7
sud,2018,410,femmine,luglio,50_64,7
centro,2019,305,femmine,luglio,50_64,7
isole,2019,174,femmine,luglio,50_64,7
nord,2019,672,femmine,luglio,50_64,7
sud,2019,381,femmine,luglio,50_64,7
centro,2020,327,femmine,luglio,50_64,7
isole,2020,196,femmine,luglio,50_64,7
nord,2020,670,femmine,luglio,50_64,7
sud,2020,408,femmine,luglio,50_64,7
centro,2021,317,femmine,luglio,50_64,7
isole,2021,235,femmine,luglio,50_64,7
nord,2021,681,femmine,luglio,50_64,7
sud,2021,436,femmine,luglio,50_64,7
centro,2022,332,femmine,luglio,50_64,7
isole,2022,227,femmine,luglio,50_64,7
nord,2022,751,femmine,luglio,50_64,7
